created_at_utc,severity,source,message
2026-06-22T16:08:22.178032+00:00,medium,model_backtester_v21_2,2 candidates missing or insufficient. See model_backtest_v21.csv.
2026-06-22T16:08:22.178482+00:00,medium,model_backtester_v21_2,Primary projection edge candidate is not populated. Feature builder likely needs projection/line preservation patch.
