team,player,created_at_utc,games,minutes_avg,minutes_l3,minutes_l5,points_avg,points_l3,points_l5,rebounds_avg,rebounds_l3,rebounds_l5,dreb_avg,dreb_l3,dreb_l5,assists_avg,assists_l3,assists_l5,threes_avg,threes_l3,threes_l5,turnovers_avg,turnovers_l3,turnovers_l5,fga_avg,fga_l3,fga_l5,fta_avg,fta_l3,fta_l5,scoring_dependency,dash_gp,dash_w,dash_l,dash_w_pct,dash_min,dash_pts,dash_reb,dash_ast,dash_plus_minus
ATL,Aaliyah Nye,2026-07-09T13:59:53.353316+00:00,11,1.4545454545454546,1.0999999999999999,1.8200000000000003,0.2727272727272727,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.3333333333333333,0.2,0.09090909090909091,0.0,0.2,0.09090909090909091,0.3333333333333333,0.2,0.36363636363636365,0.0,0.6,0.0,0.0,0.0,0.0025020850708924107,11.0,7.0,4.0,0.636,1.5,0.3,0.0,0.2,0.8
ATL,Allisha Gray,2026-07-09T13:59:53.359519+00:00,63,34.1031746031746,34.733333333333334,33.02,18.428571428571427,18.0,15.2,4.619047619047619,3.6666666666666665,2.8,3.8253968253968256,2.3333333333333335,1.8,3.0476190476190474,2.6666666666666665,2.0,2.0952380952380953,0.6666666666666666,0.8,1.7142857142857142,2.3333333333333335,2.0,13.396825396825397,16.0,14.2,5.73015873015873,9.333333333333334,7.2,0.21705211081034756,21.0,12.0,9.0,0.571,33.2,18.5,3.2,2.1,4.9
ATL,Amy Okonkwo,2026-07-09T13:59:53.365018+00:00,1,1.3,1.3,1.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.011111111111111112,1.0,0.0,1.0,0.0,1.3,1.0,1.0,0.0,0.0
ATL,Angel Reese,2026-07-09T13:59:53.370825+00:00,21,30.638095238095236,33.266666666666666,31.139999999999997,14.857142857142858,15.666666666666666,14.4,11.761904761904763,11.666666666666666,11.8,6.380952380952381,7.666666666666667,7.0,2.5238095238095237,2.0,2.0,0.09523809523809523,0.0,0.0,3.4761904761904763,3.3333333333333335,2.6,12.285714285714286,12.666666666666666,12.2,6.476190476190476,7.333333333333333,7.8,0.16997541101964106,21.0,12.0,9.0,0.571,30.6,14.9,11.8,2.5,3.0
ATL,Brionna Jones,2026-07-09T13:59:53.377248+00:00,44,26.568181818181813,18.96666666666667,22.42,12.818181818181818,11.0,11.8,7.25,5.333333333333333,8.0,4.159090909090909,3.0,3.8,2.159090909090909,1.0,1.2,0.2727272727272727,0.0,0.0,1.4545454545454546,0.6666666666666666,0.8,9.704545454545455,8.666666666666666,10.8,3.0,2.0,2.0,0.1524852906472525,44.0,30.0,14.0,0.682,26.6,12.8,7.3,2.2,6.0
ATL,Brittney Griner,2026-07-09T13:59:53.383535+00:00,39,20.769230769230774,18.0,15.76,9.794871794871796,11.666666666666666,9.2,5.205128205128205,3.6666666666666665,4.2,4.282051282051282,2.3333333333333335,3.0,0.8461538461538461,1.0,0.8,0.1282051282051282,0.0,0.0,1.5128205128205128,1.0,0.6,7.717948717948718,9.0,7.4,2.1794871794871793,1.6666666666666667,1.6,0.11634977001179059,39.0,25.0,14.0,0.641,20.8,9.8,5.2,0.8,0.8
ATL,Indya Nivar,2026-07-09T13:59:53.389309+00:00,19,3.1578947368421053,2.266666666666667,3.62,0.8947368421052632,0.0,0.4,0.8947368421052632,0.3333333333333333,0.4,0.6842105263157895,0.3333333333333333,0.4,0.3684210526315789,0.0,0.2,0.10526315789473684,0.0,0.0,0.21052631578947367,0.6666666666666666,0.4,0.9473684210526315,0.3333333333333333,0.8,0.6842105263157895,0.0,0.4,0.01029671797257843,19.0,10.0,9.0,0.526,3.2,0.9,0.9,0.4,0.4
ATL,Isobel Borlase,2026-07-09T13:59:53.394920+00:00,21,11.995238095238093,10.433333333333334,13.640000000000004,4.238095238095238,3.3333333333333335,2.8,1.380952380952381,1.6666666666666667,1.2,1.1428571428571428,1.3333333333333333,1.0,0.9047619047619048,0.6666666666666666,1.2,0.47619047619047616,0.6666666666666666,0.4,0.6666666666666666,1.6666666666666667,1.8,3.619047619047619,4.0,3.8,0.5238095238095238,0.0,0.0,0.046426194573594724,21.0,12.0,9.0,0.571,12.0,4.2,1.4,0.9,0.1
ATL,Jordin Canada,2026-07-09T13:59:53.400782+00:00,49,29.202040816326527,34.63333333333333,33.440000000000005,11.204081632653061,8.333333333333334,11.2,3.3877551020408165,3.6666666666666665,3.6,3.020408163265306,3.0,3.0,6.26530612244898,8.333333333333334,5.8,0.8775510204081632,0.3333333333333333,1.0,2.2244897959183674,3.0,2.8,9.26530612244898,8.333333333333334,9.2,3.2857142857142856,1.3333333333333333,2.8,0.13189707427830502,21.0,12.0,9.0,0.571,30.8,11.2,3.6,7.0,5.6
ATL,Kamiah Smalls,2026-07-09T13:59:53.406544+00:00,3,1.1333333333333335,1.1333333333333335,1.1333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.1,0.0,0.0,0.0,0.7
