RunTimestamp,ModelVersion,Game,Away,Home,Line,Projection,Edge,Confidence,FinalSignal,RawEdgeSignal,SuggestedUnits,SuggestedStake,Selection,AssumedOdds,Book,Consensus,ExpectedPace,RawTotal,AwayProjectedPoints,HomeProjectedPoints,ClosingLine,ActualTotal,Result,CLV_Points,CLV_Percent
2026-05-28 02:08:37,v2.4,IND @ GSV,IND,GSV,169.5,169.89,0.39,31,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,169.5,80.81,169.88,84.64,85.25,,,,,
2026-05-28 02:20:47,v2.4,PHX @ NYL,PHX,NYL,175.5,173.39,-2.11,34,PASS,PASS,0.0,0.0,UNDER,1.91,FanDuel,174.0,80.45,173.39,86.85,86.53,,,,,
2026-05-28 02:20:47,v2.4,TOR @ CHI,TOR,CHI,172.5,172.03,-0.47,34,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,172.5,80.95,172.03,85.53,86.5,,,,,
2026-05-28 02:20:47,v2.4,ATL @ MIN,ATL,MIN,165.5,168.9,3.4,43,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,165.5,81.23,168.9,83.97,84.94,,,,,
2026-05-28 02:20:47,v2.4,CON @ PDX,CON,PDX,166.0,169.21,3.21,41,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,166.5,80.58,169.21,81.54,87.67,,,,,
2026-05-28 02:20:47,v2.4,WAS @ SEA,WAS,SEA,160.5,166.1,5.6,46,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,160.5,80.22,166.1,81.98,84.12,,,,,
2026-05-28 02:20:47,v2.4,LVA @ DAL,LVA,DAL,177.0,175.0,-2.0,36,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,177.0,80.96,174.99,87.52,87.48,,,,,
2026-05-28 02:20:47,v2.4,IND @ GSV,IND,GSV,169.5,169.89,0.39,31,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,169.5,80.81,169.88,84.64,85.25,,,,,
2026-05-28 02:26:56,v2.4,PHX @ NYL,PHX,NYL,173.5,173.39,-0.11,30,PASS,PASS,0.0,0.0,UNDER,1.91,FanDuel,173.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 02:26:56,v2.4,TOR @ CHI,TOR,CHI,172.5,172.03,-0.47,34,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,172.5,80.95,172.03,85.53,86.5,,,,,
2026-05-28 02:26:56,v2.4,ATL @ MIN,ATL,MIN,165.5,168.9,3.4,43,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,165.5,81.23,168.9,83.97,84.94,,,,,
2026-05-28 02:26:56,v2.4,CON @ PDX,CON,PDX,166.0,169.21,3.21,41,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,166.5,80.58,169.21,81.54,87.67,,,,,
2026-05-28 02:26:56,v2.4,WAS @ SEA,WAS,SEA,160.5,166.1,5.6,46,WATCHLIST OVER,LEAN OVER,0.0,0.0,OVER,1.91,BetOnline.ag,160.5,80.22,166.1,81.98,84.12,,,,,
2026-05-28 02:26:56,v2.4,LVA @ DAL,LVA,DAL,177.0,175.0,-2.0,36,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,177.0,80.96,174.99,87.52,87.48,,,,,
2026-05-28 02:26:56,v2.4,IND @ GSV,IND,GSV,169.5,169.89,0.39,31,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,169.5,80.81,169.88,84.64,85.25,,,,,
2026-05-28 13:33:51,v2.4,LVA @ DAL,LVA,DAL,177.5,175.0,-2.5,38,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,177.5,80.96,174.99,87.52,87.48,,,,,
2026-05-28 13:33:51,v2.4,IND @ GSV,IND,GSV,167.5,169.89,2.39,39,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.5,80.81,169.88,84.64,85.25,,,,,
2026-05-28 13:33:51,v2.4,MIN @ CHI,MIN,CHI,168.5,169.18,0.68,31,PASS,PASS,0.0,0.0,OVER,1.91,FanDuel,168.5,81.54,169.18,85.83,83.35,,,,,
2026-05-28 13:33:51,v2.4,LAS @ WAS,LAS,WAS,170.5,175.52,5.02,62,LEAN OVER,LEAN OVER,0.35,1.75,OVER,1.91,FanDuel,170.25,80.71,175.52,88.48,87.04,,,,,
2026-05-28 13:33:51,v2.4,PHX @ NYL,PHX,NYL,171.5,173.39,1.89,43,PASS,PASS,0.0,0.0,OVER,1.91,FanDuel,171.5,80.45,173.39,86.85,86.53,,,,,
2026-05-28 13:33:51,v2.4,ATL @ PDX,ATL,PDX,165.5,169.84,4.34,42,PASS,LEAN OVER,0.0,0.0,OVER,1.91,FanDuel,165.5,80.61,169.84,85.92,83.92,,,,,
2026-05-28 14:49:15,v2.4,LVA @ DAL,LVA,DAL,177.5,175.0,-2.5,38,PASS,PASS,0.0,0.0,UNDER,1.91,BetOnline.ag,177.5,80.96,174.99,87.52,87.48,,,,,
2026-05-28 14:49:15,v2.4,IND @ GSV,IND,GSV,167.5,169.89,2.39,39,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,167.5,80.81,169.88,84.64,85.25,,,,,
2026-05-28 14:49:15,v2.4,MIN @ CHI,MIN,CHI,168.5,169.18,0.68,36,PASS,PASS,0.0,0.0,OVER,1.91,BetOnline.ag,168.5,81.54,169.18,85.83,83.35,,,,,
2026-05-28 14:49:15,v2.4,LAS @ WAS,LAS,WAS,169.5,175.52,6.02,71,STRONG OVER,STRONG OVER,0.75,3.75,OVER,1.91,BetOnline.ag,169.75,80.71,175.52,88.48,87.04,,,,,
