event_id,sport_key,commence_time,home_team,away_team,bookmaker_key,bookmaker,last_update,market,name,price,point
92025da862cb0756a756006bc12a79e6,basketball_wnba,2026-08-13T02:00:00Z,Golden State Valkyries,Chicago Sky,betonlineag,BetOnline.ag,2026-08-12T12:05:26Z,totals,Under,1.91,167.5
92025da862cb0756a756006bc12a79e6,basketball_wnba,2026-08-13T02:00:00Z,Golden State Valkyries,Chicago Sky,bovada,Bovada,2026-08-12T12:05:51Z,totals,Over,1.91,168.0
92025da862cb0756a756006bc12a79e6,basketball_wnba,2026-08-13T02:00:00Z,Golden State Valkyries,Chicago Sky,bovada,Bovada,2026-08-12T12:05:51Z,totals,Under,1.91,168.0
92025da862cb0756a756006bc12a79e6,basketball_wnba,2026-08-13T02:00:00Z,Golden State Valkyries,Chicago Sky,betmgm,BetMGM,2026-08-12T12:05:46Z,totals,Over,1.91,167.5
92025da862cb0756a756006bc12a79e6,basketball_wnba,2026-08-13T02:00:00Z,Golden State Valkyries,Chicago Sky,betmgm,BetMGM,2026-08-12T12:05:46Z,totals,Under,1.91,167.5
92025da862cb0756a756006bc12a79e6,basketball_wnba,2026-08-13T02:00:00Z,Golden State Valkyries,Chicago Sky,betus,BetUS,2026-08-12T12:05:27Z,totals,Over,1.91,167.5
92025da862cb0756a756006bc12a79e6,basketball_wnba,2026-08-13T02:00:00Z,Golden State Valkyries,Chicago Sky,betus,BetUS,2026-08-12T12:05:27Z,totals,Under,1.91,167.5
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,fanduel,FanDuel,2026-08-12T12:06:07Z,totals,Over,1.94,186.5
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,fanduel,FanDuel,2026-08-12T12:06:07Z,totals,Under,1.88,186.5
62ed8d04c26de1f3164b3c15775a52e6,basketball_wnba,2026-08-13T02:00:00Z,Portland Fire,Minnesota Lynx,draftkings,DraftKings,2026-08-12T12:05:27Z,totals,Over,1.87,185.5
