team,games,pace_per40,off_rating,def_rating,efg_pct,fta_rate,tov_pct,oreb_pct
ATL,5,80.819453125,104.648828125,101.136328125,0.4957499999999999,0.33689453125,0.18684375,0.34393359375
CHI,6,81.58296875,102.57721875000004,102.68421875,0.4708633333333333,0.3712863541666666,0.1500491666666666,0.2753590625
CON,8,80.75,94.832,111.56,0.45496,0.2862,0.19522,0.32508
DAL,7,78.916484375,110.989609375,106.385609375,0.5261266666666666,0.2792131770833334,0.1539045833333333,0.30924953125
GSV,6,78.54296875,108.75921875,100.22821875,0.4902933333333332,0.3135963541666666,0.1454591666666666,0.3240190625
IND,6,83.06296875000001,108.41421875,101.49021875,0.5232633333333333,0.3410963541666665,0.1887491666666666,0.3211190625
LAS,6,81.42296875000001,110.97321875,114.65221875,0.5672533333333333,0.3415763541666667,0.1995891666666666,0.3013390625
LVA,6,83.04796875,109.51121875,104.46521875,0.5494633333333332,0.3035163541666666,0.1827191666666666,0.2974290625
MIN,6,81.83796874999999,107.36321875,101.78921875,0.5420733333333334,0.3025563541666666,0.1959091666666666,0.3407690625
NYL,7,80.105484375,107.104609375,107.63860937500002,0.5352816666666668,0.3371081770833334,0.1893595833333333,0.27913453125
PDX,7,80.27398437499998,106.54560937499996,108.95260937499998,0.5130116666666668,0.2914631770833333,0.1731295833333333,0.27833453125
PHX,7,80.596484375,108.217109375,108.11710937499998,0.4888316666666665,0.3984631770833333,0.1602795833333333,0.2894245312499999
SEA,7,80.188984375,102.327109375,102.108109375,0.4950466666666666,0.3995881770833334,0.1839545833333333,0.27065953125
TOR,7,80.356484375,108.096109375,112.10210937499998,0.4919366666666666,0.3555331770833333,0.1721295833333333,0.29616953125
WAS,5,79.930703125,102.273828125,107.961328125,0.499625,0.40726953125,0.1948437499999999,0.30368359375
