away,home,market_line,book,book_key,consensus_line,books_count,commence_time,projection,edge,signal,raw_total,calibration_factor,away_projected_points,home_projected_points,expected_pace_per40,away_pp100,home_pp100,away_off_rating,home_off_rating,away_def_rating,home_def_rating,away_pace_per40,home_pace_per40,away_diagnostics,home_diagnostics,model_version,raw_edge_signal,confidence,confidence_grade,confidence_reasons,confidence_details,FinalSignalNormalized,AssumedOdds,SuggestedUnitsRaw,SuggestedUnits,SlateCapApplied,UnitValue,SuggestedStake,Selection,StakeReason
LAS,WAS,169.0,BetOnline.ag,betonlineag,168.75,8,2026-05-29T23:30:00Z,175.52,6.52,STRONG OVER,175.52,1.0,88.48,87.04,80.71,109.62,107.84,110.97,102.27,114.65,107.96,81.42,79.93,neutral,neutral,v2.3_clean_ratings_signal_quality,STRONG OVER,73,B,edge 6.5 pts; pace weak; efficiency supports; four factors support; market consensus clean,"{'edge_score': 26.1, 'pace_score': 5.0, 'efficiency_score': 15.0, 'four_factor_score': 12.0, 'market_score': 15.0, 'pace_diff_vs_league': -0.14, 'combined_pp100_diff_vs_league': 5.27, 'four_factor_raw': 4.5, 'away_four_factor_tags': ['+off eFG', '-def allows eFG', '-off low TOV', '+def low forced TOV', '-off OREB'], 'home_four_factor_tags': ['-off eFG', '+def allows eFG', '-off low TOV', '+def low forced TOV', '+off OREB'], 'consensus_diff': 0.25}",STRONG OVER,1.91,0.75,0.75,False,5.0,3.75,OVER,STRONG OVER at 0.750u
PHX,NYL,169.5,BetOnline.ag,betonlineag,169.5,8,2026-05-29T23:30:00Z,173.39,3.89,LEAN OVER,173.39,1.0,86.85,86.53,80.45,107.96,107.56,108.22,107.1,108.12,107.64,80.6,80.11,low TOV,eFG support,v2.3_clean_ratings_signal_quality,LEAN OVER,56,C,edge 3.9 pts; pace weak; efficiency supports; four factors mixed; market consensus clean,"{'edge_score': 15.6, 'pace_score': 5.0, 'efficiency_score': 15.0, 'four_factor_score': 5.0, 'market_score': 15.0, 'pace_diff_vs_league': -0.4, 'combined_pp100_diff_vs_league': 3.33, 'four_factor_raw': -2.5, 'away_four_factor_tags': ['-off eFG', '-def allows eFG', '+off low TOV', '+def low forced TOV', '-off OREB'], 'home_four_factor_tags': ['+off eFG', '+def allows eFG', '-off low TOV', '+def low forced TOV', '-off OREB'], 'consensus_diff': 0.0}",LEAN OVER,1.91,0.35,0.35,False,5.0,1.75,OVER,LEAN OVER at 0.350u
