source,layer,season,state,severity,rows,events,message,fallback_path
official_playergamelogs_base,official_wnba_mobile,2025,CACHE_FALLBACK_USED,low,5407,0,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_playergamelogs_2025.csv
official_teamgamelogs_base,official_wnba_mobile,2025,OUTPUT_FALLBACK_USED,low,572,0,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_outputs/official_mobile_teamgamelogs_v21.csv
official_team_dash_base,official_wnba_mobile,2025,CACHE_FALLBACK_USED,low,13,0,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_team_dash_base_2025.csv
official_player_dash_base,official_wnba_mobile,2025,CACHE_FALLBACK_USED,low,182,0,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_player_dash_base_2025.csv
official_playergamelogs_base,official_wnba_mobile,2026,CACHE_FALLBACK_USED,low,1197,0,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_playergamelogs_2026.csv
official_teamgamelogs_base,official_wnba_mobile,2026,OUTPUT_FALLBACK_USED,low,322,0,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_outputs/official_mobile_teamgamelogs_v21.csv
official_team_dash_base,official_wnba_mobile,2026,CACHE_FALLBACK_USED,low,15,0,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_team_dash_base_2026.csv
official_player_dash_base,official_wnba_mobile,2026,CACHE_FALLBACK_USED,low,196,0,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_player_dash_base_2026.csv
player_props,odds_api,,SKIPPED,info,0,0,Use --props to fetch player props.,
espn_wnba_schedules,sportsdataverse,2026,CACHE_FALLBACK_USED,low,332,0,HTTPError: 403 Client Error: rate limit exceeded for url: https://api.github.com/repos/sportsdataverse/sportsdataverse-data/releases/tags/espn_wnba_schedules,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/sdv_wnba_schedules.csv
espn_wnba_team_boxscores,sportsdataverse,2026,CACHE_FALLBACK_USED,low,118,0,HTTPError: 403 Client Error: rate limit exceeded for url: https://api.github.com/repos/sportsdataverse/sportsdataverse-data/releases/tags/espn_wnba_team_boxscores,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/sdv_wnba_team_boxscores.csv
espn_wnba_player_boxscores,sportsdataverse,2026,CACHE_FALLBACK_USED,low,1418,0,HTTPError: 403 Client Error: rate limit exceeded for url: https://api.github.com/repos/sportsdataverse/sportsdataverse-data/releases/tags/espn_wnba_player_boxscores,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/sdv_wnba_player_boxscores.csv
espn_wnba_pbp,sportsdataverse,2026,CACHE_FALLBACK_USED,low,24591,0,HTTPError: 403 Client Error: rate limit exceeded for url: https://api.github.com/repos/sportsdataverse/sportsdataverse-data/releases/tags/espn_wnba_pbp,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/sdv_wnba_pbp.csv
wnba_stats_schedules,sportsdataverse,2026,CACHE_FALLBACK_USED,low,118,0,HTTPError: 403 Client Error: rate limit exceeded for url: https://api.github.com/repos/sportsdataverse/sportsdataverse-data/releases/tags/wnba_stats_schedules,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/sdv_wnba_stats_schedules.csv
wnba_stats_team_boxscores,sportsdataverse,2026,FETCH_FAILED_NO_CACHE,high,0,0,HTTPError: 403 Client Error: rate limit exceeded for url: https://api.github.com/repos/sportsdataverse/sportsdataverse-data/releases/tags/wnba_stats_team_boxscores,
wnba_stats_player_boxscores,sportsdataverse,2026,FETCH_FAILED_NO_CACHE,high,0,0,HTTPError: 403 Client Error: rate limit exceeded for url: https://api.github.com/repos/sportsdataverse/sportsdataverse-data/releases/tags/wnba_stats_player_boxscores,
wnba_stats_pbp,sportsdataverse,2026,CACHE_FALLBACK_USED,low,24307,0,HTTPError: 403 Client Error: rate limit exceeded for url: https://api.github.com/repos/sportsdataverse/sportsdataverse-data/releases/tags/wnba_stats_pbp,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/sdv_wnba_stats_pbp.csv
