GAME_ID,GAME_DATE,TEAM_1,TEAM_2,PTS_1,PTS_2,TOTAL_POINTS,MATCHUP_1,MATCHUP_2,TEAM_ROWS
1022500068,2025-06-15,CHI,CON,78,66,144,CHI @ CON,CON vs. CHI,2
1022500069,2025-06-15,ATL,WAS,89,56,145,ATL @ WAS,WAS vs. ATL,2
1022500070,2025-06-15,LVA,PHX,70,76,146,LVA vs. PHX,PHX @ LVA,2
1022500071,2025-06-17,IND,CON,88,71,159,IND vs. CON,CON @ IND,2
1022500072,2025-06-17,ATL,NYL,81,86,167,ATL @ NYL,NYL vs. ATL,2
1022500073,2025-06-17,CHI,WAS,72,79,151,CHI vs. WAS,WAS @ CHI,2
1022500074,2025-06-17,GSV,DAL,71,80,151,GSV @ DAL,DAL vs. GSV,2
1022500075,2025-06-17,MIN,LVA,76,62,138,MIN vs. LVA,LVA @ MIN,2
1022500076,2025-06-17,SEA,LAS,98,67,165,SEA @ LAS,LAS vs. SEA,2
1022500077,2025-06-18,CON,PHX,75,83,158,CON vs. PHX,PHX @ CON,2
1022500078,2025-06-19,PHX,NYL,89,81,170,PHX @ NYL,NYL vs. PHX,2
1022500079,2025-06-19,GSV,IND,88,77,165,GSV vs. IND,IND @ GSV,2
1022500080,2025-06-20,ATL,WAS,92,91,183,ATL vs. WAS,WAS @ ATL,2
1022500081,2025-06-20,CON,DAL,83,86,169,CON vs. DAL,DAL @ CON,2
1022500082,2025-06-20,SEA,LVA,90,83,173,SEA @ LVA,LVA vs. SEA,2
1022500083,2025-06-21,CHI,PHX,86,107,193,CHI vs. PHX,PHX @ CHI,2
1022500084,2025-06-21,MIN,LAS,82,66,148,MIN vs. LAS,LAS @ MIN,2
1022500085,2025-06-22,ATL,CHI,93,80,173,ATL vs. CHI,CHI @ ATL,2
1022500086,2025-06-22,WAS,DAL,91,88,179,WAS vs. DAL,DAL @ WAS,2
1022500087,2025-06-22,IND,LVA,81,89,170,IND @ LVA,LVA vs. IND,2
1022500088,2025-06-22,SEA,NYL,89,79,168,SEA vs. NYL,NYL @ SEA,2
1022500089,2025-06-22,GSV,CON,87,63,150,GSV vs. CON,CON @ GSV,2
1022500090,2025-06-24,MIN,WAS,64,68,132,MIN @ WAS,WAS vs. MIN,2
1022500091,2025-06-24,CHI,LAS,97,86,183,CHI vs. LAS,LAS @ CHI,2
1022500092,2025-06-24,ATL,DAL,55,68,123,ATL @ DAL,DAL vs. ATL,2
1022500093,2025-06-24,SEA,IND,86,94,180,SEA vs. IND,IND @ SEA,2
1022500094,2025-06-25,GSV,NYL,78,81,159,GSV vs. NYL,NYL @ GSV,2
1022500095,2025-06-25,CON,LVA,59,85,144,CON @ LVA,LVA vs. CON,2
1022500096,2025-06-26,IND,LAS,75,85,160,IND vs. LAS,LAS @ IND,2
1022500097,2025-06-26,WAS,LVA,94,83,177,WAS @ LVA,LVA vs. WAS,2
1022500098,2025-06-27,ATL,MIN,92,96,188,ATL vs. MIN,MIN @ ATL,2
1022500099,2025-06-27,IND,DAL,94,86,180,IND @ DAL,DAL vs. IND,2
1022500100,2025-06-27,GSV,CHI,83,78,161,GSV vs. CHI,CHI @ GSV,2
1022500101,2025-06-27,PHX,NYL,106,91,197,PHX vs. NYL,NYL @ PHX,2
1022500102,2025-06-27,SEA,CON,97,81,178,SEA vs. CON,CON @ SEA,2
1022500103,2025-06-28,WAS,DAL,71,79,150,WAS @ DAL,DAL vs. WAS,2
1022500104,2025-06-29,ATL,NYL,90,81,171,ATL vs. NYL,NYL @ ATL,2
